Original Description,Synthesized Descritpion,Permission,,
Flashlight Alert 2020Flash light on Call And SMS is a useful app to alert you when you receive a phone call or text message with the blink of your device flashlight or Torch light,the app uses camera and flashlight of your camera,CAMERA,,
Amaze your friends with the artistic expert photos from our camera app,take photos from gallery or take from camera,CAMERA,,
Buzzing PhotoWhich selfie works the best as the profile photo,take photos with your device camera,CAMERA,,
Use the cam LED light!,you can use flashlight of your camera from device camera,CAMERA,,
Capture photos at important situation automatically,the app uses camera permission to take photos,CAMERA,,
Take a picture or select a photo from gallery,take a picture with device camera or take from gallery,CAMERA,,
Scan your images or documents and save it into PDF format,scan the qr in your phone,CAMERA,,
Your camera's flash (flash) camera will be used as a small light,this app uses camera permission,CAMERA,,
Use existing photos from your gallery or snap a new pic to use with the photo frames,take pictures with device camera,CAMERA,,
"The Osceola County Sheriff Office app allows users to report issues or concerns directly from their Android devices, with photos",the app uses camera to take pictures,CAMERA,,
Camera: Needed to allow the user to take photos and post them to Classroom,you can take photos with camera and share it with your friends,CAMERA,,
Camera: Needed to allow the user to take videos and post them to Classroom,the app use camera permission to record video and take pictures,CAMERA,,
Voice dialer will recognize contact and automatically make call for you,add events to calendar and add calendar,CONTACT,,
assign ringtones to your contacts,set your contacts ringtone and as notification alarm,CONTACT,,
assign ringtones to your contacts,set a ringtone for desired contact,CONTACT,,
assign ringtones to your contacts,the app use use read contact permission,CONTACT,,
assign ringtones to your contacts,this app uses read contact permission to set ringtone,CONTACT,,
assign ringtones to your contacts,read your contacts to assign ringtones for your contacts,CONTACT,,
assign ringtones to your contacts,set a ringtone for desired contact,CONTACT,,
assign ringtones to your contacts,you can set contact ringtone to contact to read your contact,CONTACT,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",save photo and ringtone for your contacts,CONTACT,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",you can assign ringtone to your contacts or contact,CONTACT,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",the app uses read contact permission to assign ringtones for contacts,CONTACT,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",the app uses read contact permission to assign ringtones for contacts,CONTACT,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",save photo and ringtone for your contacts,CONTACT,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",set your contacts ringtone and as notification alarm,CONTACT,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",set your contacts ringtone and as notification alarm,CONTACT,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",set a ringtone for desired contact,CONTACT,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",this app use read contact permission to set ringtone,CONTACT,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",this app read contact to assign ringtones to your contacts,CONTACT,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",save photo and ringtone for your contacts,CONTACT,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",set your contacts ringtone and as notification alarm,CONTACT,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",the app use use read contact permission,CONTACT,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",read your contacts to assign ringtones for your contacts,CONTACT,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",you can assign ringtone to your contacts or contact,CONTACT,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",read contact to your contacts and set ringtone for contact,CONTACT,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",save photo and ringtone for your contacts,CONTACT,,
"Set as a ring tone, SMS notification alert, alarm sound or assign it to specific contacts ",this app read contact and you can set contact ringtone,CONTACT,,
"Contacts/Calendar, so Offi can route you to your contacts or location from a calendar event, store a connection in your calendar or e-mail it to your friends ",app use read contact permission to read your contact,CONTACT,,
"Securely backs up contacts, messages, call logs to Bkav Cloud or SD Card ",save contact and sms to storage or sd card,CONTACT,,
read sent and received SMS messages,this app uses read sms permission,CONTACT,,
"app can help you manage ringtone of contacts , assign different ringtone to each contact ",the app read your contacts to assign ringtone to your contacts,CONTACT,,
"Save as Ringtone/Music/Alarm/Notification, or assign it to a contact ",the app read your contacts to assign ringtone to your contacts,CONTACT,,
"Set the new clip as default ringtone or assign to contacts, using this editor ",this app uses read contact permission,CONTACT,,
Customize specific tunes for individual contacts or allow the app to set randomized tunes from your playlist for all outgoing calls,save contact to your phone contact list,CONTACT,,
assign ringtones to your contacts,set a ringtone to  desired contact,CONTACT,,
Mark important calls and filter them for quick access;- Call back and open contacts right from the app,this app use read contact permission to read contact,CONTACT,,
"If you share a contact, a vCard will be generated on the fly ",save contact to file,CONTACT,,
"This app can import, export, and transfer your contacts.",this app will read contact to read contacts and save contacts to device,CONTACT,,
syncs with contacts and you?€?re ready to go. add your favorite contacts in app home screen to make the call within a couple of touches.,the app can can read contacts or contact,CONTACT,,
it will not read your contacts saved in phone but you can create separate contact list so that contact would be added in jhingur as your preference.,app use can can read contact,CONTACT,,
Set sound as default or contact ringtone,the app can read your contacts to assign ringtones for your contacts,CONTACT,,
Read contacts: To read the device contacts to provide caller id information.,you can read contact contacts details,CONTACT,,
"Contacts (read your contacts) - connecting Your contacts with profiles (name, avatar, sending reports)",save photos to contact or contacts,CONTACT,,
Find contacts who are already on Yabb and invite those who aren?€?t.,this app can read contact to read contacts,CONTACT,,
Easily add friends to your contacts list with Yabb Auto-sync.,save contact to your phone book,CONTACT,,
"Contacts Import: Import business contacts from Google contacts, phonebook or excel sheet.",you can download contact to device storage storage,CONTACT,,
Read your contacts is required for selecting some contact which will be used as target for a shortcut.,access your contact information,CONTACT,,
Use your contact list to invite friends to events or find friends already using Bandsintown,the app use read contact to read contacts,CONTACT,,
Assign different melody for every contact,set a ringtone for desired contact,CONTACT,,
Slide a contact to left to call or send a message directly and quickly call your favorite contacts!,the app use read contact to read contacts,CONTACT,,
"Set as a ring tone, SMS notification alert, alarm sound or assign it to specific contacts",the app can read your contacts to assign ringtones for your contacts,CONTACT,,
"READ_CONTACTS to read your contacts, Home screen widget displaying the upcoming birthday and anniversary dates of your contacts",this app can read contact to read contacts,CONTACT,,
"Simply tap on the call tab on Skype Lite, and start the group call with your friends on Skype Lite. You can also share a Skype Lite group call link with your friends on popular social apps like WhatsApp, Facebook Messenger or SMS, and invite them to join the call.",read contacts and you can share the the the the,CONTACT,,
This application allows you to transfer within a few seconds all your contacts to your new phone.,save contacts to your phone book,CONTACT,,
"Barcode and QR scanner can scan and read all QR / barcode types including contact, email, and many other formats.",this app will use camera permission for qr code scanning and barcode,CONTACT,,
"Activate your astDial account, upload contact on cloud",the app can read your contacts,CONTACT,,
"The phonebook Contacts App helps you to modify, delete and insert contact.",you can add new contact and add contacts,CONTACT,,
"You can send an unlimited amount of messages, photos, videos and files of any type to your contacts and have group chat with up to 200 contacts at a time.",the app will read your contacts and you can send sms to contacts for contact,CONTACT,,
This app uses Read Contacts permission to read contacts per your action taken.,the app will read contact,CONTACT,,
This app uses Write Contacts permission to add/delete contacts as per your action taken.,save contacts or contact or add new contacts,CONTACT,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning the ringtone to desired contact",set ringtones for contacts,CONTACT,,
You can import thousands of contacts into separate groups from a spreadsheet (CSV) in seconds. The contacts are synced real-time from your computer with your Android app.,save contacts to device storage storage,CONTACT,,
READ_CONTACT permission needed for autocompletion when you are using on screen keyboard.,this app read contact to read your contacts,CONTACT,,
"Recover Deleted All Photos, Files And Contacts.",save contact for your device,CONTACT,,
"Set as a ring tone, SMS notification alert, alarm sound or assign it to specific contacts",you can set contact ringtones notification alert and save photo to contacts,CONTACT,,
You may create favorite contact list for privacy or may put contact list in the privacy to secure your contact while ring.,this app use contact permission,CONTACT,,
Edit contacts and add notes to the people you meet.,save photo to contacts and you can use save contacts to device,CONTACT,,
Mobile Tracker App uses permission to read the contact and make user's to pick individual contact to store in the application and display picked contact numbers when user get in to this app.,the app read contact read contacts,CONTACT,,
PERMISSION for reading contacts: It allows you to share the same resources accross multiple projects.,this app will use read contact permission,CONTACT,,
Import persons from your contacts or a Google spreadsheet,save new contacts to your phone,CONTACT,,
You can create list from your contacts to exclude them from caller name announcement. Calling person name if exists in your contacts.,app can read contact to read your contacts,CONTACT,,
"Easily export contacts to Salesforce, SugarCRM or save as Excel files",save new contacts to your phone,CONTACT,,
"CREAM assistant is also a base of your contacts, which can be quickly created and organized.",you can can the app use read contacts,CONTACT,,
Set ringtones photos for your contacts.,you can save photo to contacts,CONTACT,,
"This application can restore all your MANUALLY deleted Contacts, and synchronize your all contacts",the app will save your contacts or contact to device,CONTACT,,
"syncs with contacts and you're ready to go, add your favorite contacts in app home screen to make the call within a couple of touches.",download contacts to your device storage,CONTACT,,
this app need to read contacts from the device.,this app can read your contacts,CONTACT,,
READ CONTACTS: Required to display and read contact information.,the app use contact permission to read contacts,CONTACT,,
WRITE CONTACTS: Required write contact information.,this app uses write contact permission to write contacts,CONTACT,,
this app requires read contacts.,this app will use read contact to read your contacts list,CONTACT,,
this app need write contact permission to create new contacts.,you can add new contacts and and and save contacts to device storage storage,CONTACT,,
Contact Recovery can restore your deleted contacts from your internal phone database and restore them in the original Contact thread,the app use contact permission to read contacts,CONTACT,,
read & write contacts- to assign ringtone for a specific contact.,set contact ringtones for contact,CONTACT,,
"QR and Barcode Scanner can scan and read all QR / Barcode types including text, url, ISBN, product, contact, calendar, email, location, Wi-Fi and many other formats.",our apps use contact permission to read your contacts and contacts,CONTACT,,
Assign different ?€?ringtones and notifications?€? to specific contacts from your phonebook,you can save ringtones for your contacts or contact,CONTACT,,
"Share the name and contact details of the phone owner, and the emergency contact details",this app will use read contact to read your contacts list,CONTACT,,
We ask permission to access your contact list so that you will know who among your friends is also using the app.,the app use contact permission to read contacts,CONTACT,,
"To read/write Call Logs and Contacts is required to backup, access, and restore your call history and contacts.",this app will save your contacts to device storage,CONTACT,,
"This application uses the data of your contacts on your phone, keep all your data if you change your device!",app uses read contact permission to read your contacts or contact,CONTACT,,
Settings for enabling or disabling telling names of contacts or unknown numbers both for call and message,this app uses read contact permission,CONTACT,,
It allows you to manage Contacts. Wide selection of fields and unlimited number of contact groups that can be organized hierarchically.,app use contact permission to read your contacts,CONTACT,,
"Set as a default ringtone, contact tone, SMS notification or alarm clock sound",set a ringtone for desired contact,CONTACT,,
"This App uses permissions of usage access, read contacts for secure the call and read phone state for call.",access contact from your phone contacts,CONTACT,,
"You can send SMS, Email with preselected contact person/persons or share as text with other applications installed on device.",the app send sms to your contacts in the phone,CONTACT,,
"we upload your contacts to your own password protected cloud account The Epic Contact App allows you to instantly update any single contact, or all of them as a group, with any changes to your contact data you choose to make",the app use read contact permission to read your contacts,CONTACT,,
"E2PDF allows backup of sms, contact, select any contact and get PDF backup of Call Log and detailed SMS conversation/ SMS chat of your loved ones.",app will read sms and read your contacts,CONTACT,,
Share business contacts and Import or Export business contacts,this app can save your contacts or contact,CONTACT,,
Mobile Tracker App uses permission to read the contact and make user's to pick individual contact to store in the application and display picked contact numbers when user get in to this app.,app read your contacts,CONTACT,,
assign the ring tones to your contacts,set a ringtone for desired contact,CONTACT,,
This App uses permissions of read contacts.,app can read contacts to read contact,CONTACT,,
"Press button ""View the contacts"" to view the list of contacts. You can view all details of a contact, search a contact name, delete some not necessary contacts",you can read contact detalls of your contacts or contact,CONTACT,,
"You can decide if to synchronize contacts for each account, and delete synchronized ones from Telegram servers.",save your contact to contacts,CONTACT,,
Caller name speaker and announcer uses permission to read contacts for speaking the incoming caller name.,the app use read contact permission use microphone permission,CONTACT,,
Create QR from contacts or bookmarks for your friend to scan it on their device,the app can read contact or contacts to read your contact,CONTACT,,
"Load, save, delete, backup or retore contacts from phone or SIM card.",save contacts to your phone storage,CONTACT,,
ASSIGN DIFFERENT RINGTONES TO SPECIFIC CONTACTS,the app read your contacts to assign ringtone to your contacts,CONTACT,,
"Set these sounds as SMS ringtones, alarm sounds, contact ringtones or notification sounds",set your contacts ringtone and as notification alarm,CONTACT,,
syncs with contacts and add your favorite contacts in app home screen to make the call within a couple of touches.,access contact information to read contacts,CONTACT,,
Back up your contacts and sync them across all your devices.,the app use read contact permission to read your contact and you can use save your contacts,CONTACT,,
"Choose awesome sounds as dj beats for your short message for notification tone, or some long ringtones that you can set as contact ringtone.",download ringtone for your device,CONTACT,,
Create QR from contacts or bookmarks for your friends to scan on their device,the app can read contact or contacts to read your contact,CONTACT,,
CONTACTS: The permission is required to sync your friend list and Google Account,the app read your contacts and sync with your contacts,CONTACT,,
CONTACTS: Used for GAMEVIL LIVE login,this app uses read contact permission to read contacts,CONTACT,,
Assign a different tone for each contact,set a ringtone for desired contact,CONTACT,,
Challenge friends from your contacts to some truck pulling ,this app read your contacts,CONTACT,,
Flexible integration with your phone book contacts,this app use read contact to read your contacts,CONTACT,,
CONTACTS: The permission is required to sync your friend list and Google Account,this app uses read contact permission,CONTACT,,
Select a contact from your address book and Glympse Express creates a shortcut enabling you to send to that contact,the app uses read contact to read your contacts,CONTACT,,
You can create interesting text for ringtones and set a ringtone for each contact,you can set ringtones for your contacts,CONTACT,,
Use Pinnr to tag your contacts with a GeoCode,the app uses read contact permission and read contacts,CONTACT,,
Double click the power button and dial only by speaking the contact name!,this app uses read contact permission,CONTACT,,
"Set a loud sound or ringtone to a contact, as the default ringtone, notification or alarm",set a ringtone for desired contact,CONTACT,,
Set the current ringtones as Contact ringtone,this app uses read contact permission to set ringtone,CONTACT,,
It also allows you to import guests from contacts on your phone and manage RSVPs,you can read your contacts and import your contacts from your phone,CONTACT,,
READ_CONTACTS - to use phonebook for selecting a tab's name and phone number,you can read your contacts in your phone,CONTACT,,
App Lock Security is an app protector which can basically lock your applications such as contacts,the app read contact to read contacts,CONTACT,,
set as a contact ringtone,the app can assign ringtones for your contacts in your phone,CONTACT,,
 Direct Contacts Share From Keyboard,this app read your contacts and share it with your contacts,CONTACT,,
Birthdays (and anniversaries and other events) are retrieved from your contacts list,this app read your contacts,CONTACT,,
access and sync your contacts,the app uses read contact to read your contacts,CONTACT,,
access and sync your contacts,the app use read contact permission to read contacts,CONTACT,,
One-tap calling of your contacts,you can read your contacts in your phone,CONTACT,,
Allows you to contact the person in case of the contact information availability,the app uses read contact to read your contacts,CONTACT,,
hide contacts in your phone,this app uses read contact permission,CONTACT,,
Set any sound as a ringtone for a particular contact,set ringtone to a contact,CONTACT,,
Need permissions for the Calendar and Contacts(for confirm Google account),the app uses read contact to read your contacts,CONTACT,,
When a call comes in automatically caller name is announced so you can understand who is calling without picking up the phone,the app uses read contact to read contacts,CONTACT,,
"Free to set these new ringtones as default ringtones, SMS message notification tones, alarm clock ringtones or contact ringtones!",set ringtones for contacts,CONTACT,,
download and set ringtones for your contacts,you can read contacts and assign ringtones to desired contacts,CONTACT,,
This clock weather app displays weather temperature based on your current location,this app shows weather nearby based on your current location,LOCATION,,
This clock weather app displays weather temperature based on your current location,access your location to get nearby weather forecast,LOCATION,,
This clock weather app displays weather temperature based on your current location,find your current location to get weather based on your location and gps,LOCATION,,
This clock weather app displays weather temperature based on your current location,you can use can get weather forecase based on your location data,LOCATION,,
This clock weather app displays weather temperature based on your current location,this app reads your location you can search nearby service,LOCATION,,
This clock weather app displays weather temperature based on your current location,access your location and gps data,LOCATION,,
This clock weather app displays weather temperature based on your current location,this app shows weather nearby based on your current location,LOCATION,,
Retrieve the location of your phone via email or MultiMapPro,find your current location based on gps,LOCATION,,
GPS positioning,access location and gps data,LOCATION,,
"Write your note/diary anytime, anywhere and able to organize them by location ",this app reads your location data to location tagging,LOCATION,,
Access weather information from the closest NOAA buoy to your current location,get weather nearby based on location data,LOCATION,,
Use GPS to monitor your actual speed and give you sound/voice/flashlight alarms when you exceed a speed that you asked it to watch,get location data get speed access your gps data,LOCATION,,
The compass built into the app shows the position and distance to the loved person,this app uses location permission to set navigation,LOCATION,,
You can discover new camping locations around you or anywhere on the map,the app uses location data to get current location on map,LOCATION,,
"Navier HUD calculates the real-time information via the phone sensor, such as GPS and gyroscope ",access location and gps data,LOCATION,,
Record travel path by GPS,you can track your current location on the map with gps,LOCATION,,
enter the coordinate to find the current position of your stolen phone on map,the app uses gps map display your location,LOCATION,,
"Locate your family, friends on the map ",access location information,LOCATION,,
"Search and get transit route to the places, from your location or between any two locations ",the app access location information you can navigate locations on map,LOCATION,,
"This application helps you to create a friend circle where you can share your location, track your buddies location ",find your current location and share it with friends,LOCATION,,
"A date and time stamp on photos, location coordinates and implements a custom text ",tag your photo with location information,LOCATION,,
Camera can remember your photos and videos location if you wish,read your location,LOCATION,,
Location access for location based search,app use location information,LOCATION,,
"Application uses Android device GPS(BEIDOU, GLONASS) to track your activity and track your progress live on map ",this app uses gps data to track location,LOCATION,,
location based push notifications for newly detected fires within a range of your last known location or location preference,this app read your location information,LOCATION,,
"Accurate positioning: automatically locate your position, and able to track weather in multiple locations ",track your location with location data,LOCATION,,
Sharing Current GPS Location,this app read your location and gps data,LOCATION,,
Status bar on the home screen displaying the current temperature for your current location,access location information,LOCATION,,
Automatic map centering in the user's location,the app uses location data to get current location on map,LOCATION,,
Visualization of the user's position on the map,this app uses location and gps,LOCATION,,
Shows your location (red dot) on a world map,get current location information of your device,LOCATION,,
Featuring city maps- Display orders with GPS coordinates,read gps data,LOCATION,,
show nearby stations and navigate you from your current location ,this app uses location data to get nearby information,LOCATION,,
Record the shooting location information,access location and gps information,LOCATION,,
used to update LocalTrader location only when user manually updates it,find your current location,LOCATION,,
The app uses your current GPS location,access location and gps data,LOCATION,,
Individual car location and walking navigation to it,access your location information you can use navigation,LOCATION,,
Individual car location and walking navigation to it,access location and location gps data,LOCATION,,
Automatic location detection,this app read your location data,LOCATION,,
Save location information,you can track your location and save in the app,LOCATION,,
Find and track your location and get detailed GPS data,this app read gps data and you can track location,LOCATION,,
Allows you to book a taxi using a mobile phone using the exact address as well as the coordinates of GPS,you can use your location data of your device,LOCATION,,
By selecting the location the app will display the prayer timing of your city,this app read your location data,LOCATION,,
An application that can track your travels of your Android by storing your GPS locations,app read gps data you can track your location,LOCATION,,
This wi-fi scanner uses your GPS and WiFi in combination to scan for Wi-Fi hotspots,access your gps data,LOCATION,,
location - to show the map nearby,app use your location to search nearby service,LOCATION,,
to calculate sunrise/sunset time for current location,the app uses your current location to get time,LOCATION,,
The app shows the location on topographic 3D maps,you can use gps map to find your current location,LOCATION,,
GPS location -- for saving location on exposures,find nearest locations based on your current location,LOCATION,,
you can ask your customers or friends to track your location,this app use location permission to track your location,LOCATION,,
"In case of emergency, the emergency call centre will get your location as well ",this app access your location information for emergency service,LOCATION,,
It will be automatically recognized a golf course by GPS and show you a golf course you are playing,app use your location and gps data,LOCATION,,
Then open Maps and start the navigator. Precise location necessary to get GPS data,this app access your gps data you can use map and navigation with gps and loaction data,LOCATION,,
"If you want to set your position according to real GPS data, select SET GPS MYLOCATION ",access gps information,LOCATION,,
"Save my location to track parked car, motorcycle, or bicycles ",app read location information to track your location,LOCATION,,
"In few clicks, you have access to all live information from the ski resort of your choice as well as the GPS tracker to record your activity on the slopes! ",access gps data to track your location,LOCATION,,
Create your own personal schedule and access location and speaker information,this app read your location data of your device,LOCATION,,
Track your location.,track your location based on real time location map,LOCATION,,
Make search based on your location.,find your nearest locations based on your current location,LOCATION,,
"a GPS based route finding app you can use it for accurate GPS location, detailed maps, nearby POI places, routes, route preview and instructions ",app uses gps data to navigate you can use navigation route based on your location,LOCATION,,
Possibility to create a route to the desired location,you can set destination app will read your gps data set navigation,LOCATION,,
Find events near your current location.,access your location information you can search nearby service,LOCATION,,
We have a wide range of homes in Ponferrada and nearby locations,app read your location information,LOCATION,,
Real-time GPS tracking and trip history,track your location based on real time location map,LOCATION,,
Location and tracking services require a GPS-equipped phone,app use location and gps data,LOCATION,,
"Plan your travel with GPS Driving Route, a GPS based real-time voice navigation app which supports online / offline maps, search, optimised routes, traffic signals, speed cams, compass directions, parking, trip recording ",this app will use your location and gps data you can set destination you can use to navigation,LOCATION,,
"record GPS coordinates of the places you visit, like monuments, cities, beach ",access gps information,LOCATION,,
Access GPS data.,this app read location and gps data,LOCATION,,
Gallery can take photos and record the location where you take them You can manage your photos and pictures by different folders or by location,this app will use camera and location you can take photo with your location information,LOCATION,,
The service option of GPS-tracking of transportation routes simultaneously use the data obtained from the mobile devices with built in GPS.,the app can can can use gps data to get your location,LOCATION,,
tag your photo with the location.,access your location and gps data,LOCATION,,
this app will display the current location for faster navigation to the free wifi station,the app use location information you can setup navigation to the the location,LOCATION,,
"Just launch the app, wait for a couple of seconds for the GPS to lock and you are ready to go, monitor your speed on the map ",access location and gps data you can get current speed,LOCATION,,
Geographical location to easily visit the cities,access location and gps information,LOCATION,,
Get your location based on your ip address.,find your current location,LOCATION,,
This app use location information to provide relevent service.,this app will read your location information you can search location and nearby service,LOCATION,,
This app uses your location and gives you a menu of common quality-of-life conditions to choose from in your service request,the app use your location data of you location location,LOCATION,,
"The app uses your location to keep you up to date with offers, events and activities relevant to your location ",this app will read your location information you can search location and nearby service,LOCATION,,
Lystloc is a location intelligence solution that helps organizations to track their employees and vehicles in real-time easily,access location and gps data to track your location,LOCATION,,
Detailed maps with your GPS location Send your current location to friends or family via text message or email.,the app uses location and gps information,LOCATION,,
App features include GPS directions.,access location and gps data,LOCATION,,
"Get real-time GPS navigation, traffic and explore nearby places, and you can share you current location.",this app will read your location information you can search location and nearby service,LOCATION,,
"Incident location, who to contact, supporting media and/or documentations.",this app use location information,LOCATION,,
COARSE_LOCATION: This is required to analyze offline TV viewing data and serve media-targeted ads,this app use microphone and location location to get services,LOCATION,,
"Customise alerts for breaking news, location and interest-based notifications ?€? Set your weather based on your geo-location or chosen location ",the app uses your location data to get nearby service you can use can set weather based on your location,LOCATION,,
Set your weather based on your geo-location or chosen location,find your current location to get weather based on your location and gps,LOCATION,,
Option to calculate route from current location using GPS,access location and gps data,LOCATION,,
Application tracks your distance and bearing from a given memorized gps location,the app will use your location and gps,LOCATION,,
FindMe displays your exact location and `Auto Tracking` displays your movement on the map (this feature is not supported on devices without built-in GPS hardware),access gps data,LOCATION,,
Access location and speaker information at your fingertips,access location information,LOCATION,,
Location based station and stop finder,access location and gps to find transit station,LOCATION,,
Immediate access to your nearby Muni stops based on your location Current weather conditions in San Francisco,access your location and gps information to get nearby information,LOCATION,,
"Just select your issue, and take a picture - the app knows the location and sends it right into the city's CRM or 311 System ",this app read your location data,LOCATION,,
"App can access your location and GPS information to: send you notifications, process your tracking stats and determine your position ",this app use location and gps data to get your current location,LOCATION,,
tag your photos with current location.,use location information to tag photo,LOCATION,,
map With GPS,track your location based on real time location map,LOCATION,,
Access GPS location data.,access location and gps data,LOCATION,,
"We have to ask for your location occasionally, so you can help in emergency situations.",the app will use your location and gps data,LOCATION,,
"Location, Phone, and Web Browser permissions used for extra cinema information only ",app use location information,LOCATION,,
"Access to your location to provide you with nearby offers, events, and advertisements. ",this app will use location data you can get nearby information based on your current location,LOCATION,,
The application displays real-time location of your driver,you can track your location through gps and location data,LOCATION,,
"Unique promotions using location, ibeacons and answer possibilities ",access location and gps data,LOCATION,,
An app that display your current location via GPS.,the app uses location to find your current location,LOCATION,,
"this app is a GPS Tracking App which allows you to track your fitness activities like WALKING, RUNNING, CYCLING and GYM Workout ",this app use gps data you can track your location,LOCATION,,
"You just type the name of your destination location, gps app will give you shortest, safe and easy driving route from your current location to target destination ",this app access location and gps information you can navigate route to destination,LOCATION,,
Poznan Hotels app is able to locate the nearest hotel to you based on your current location,access location and gps data,LOCATION,,
Users can view other users profile and have the ability to connect with them on your nearby location,the app will access location of your device,LOCATION,,
"With intuitive GPS capabilities, you don?€?t even need to enter your address, simply ?€?find your location?€? ",this app can read your current location and gps data,LOCATION,,
Find and track your friends on the hiking trails and Send dynamic messages to your friends based on your location,access your location and gps data to track your location,LOCATION,,
Accurate prayer times based on your current location,find your current location,LOCATION,,
"Use the app anytime, anywhere to pull up available properties around you using the GPS search, or find homes based on address, city or zip code and have complete details on all properties ",access location and gps information find homes for sale or rent around you using the location search or based on city or zip code,LOCATION,,
Find the nearest golf range around your current location.,find your current locatioin to get nearby service,LOCATION,,
Get sunrise sunset time based on your location or any given locations.,find your current position to get time,LOCATION,,
"You can refine your search by make, model, location and more, and then talk directly to the seller to view the car and agree your purchase",the app uses location permission to get your current location,LOCATION,,
Real-time location of driver and estimated time of arrival and Lookup future pickup times and locations,access your location and gps data app can get distance from you and get remaining time of arrival,LOCATION,,
"The user is guided via GPS navigation from his present location to his location of choice, be by showing the route in the map, by public transport or taxi ",this app will use your location information to plan route from current location to destination,LOCATION,,
"Auto track location changes, when location set using either phone network or GPS ",track your location with location and gps data,LOCATION,,
"Auto track timezone changes, when location set using either phone network or GPS ",track your location and time and find current location,LOCATION,,
Make search based on your current location,find your current location and search nearby service with location,LOCATION,,
"This app incorporates the use of GPS technology to better maintain and track work history records, schedule future work, and assist with budget management",this app will use your location and gps data,LOCATION,,
Get your current location to find the city or region you are in.,access your location the app use your location information on city level,LOCATION,,
"Use the Brand Name Real Estate Mobile App anytime, anywhere to pull up homes for sale around you using the GPS search, or find homes based on address, city or zip code",you can share your location information,LOCATION,,
It will help you to find the locations get directions from your current location to destination.,access your location and gps data app can use location to plan navigation,LOCATION,,
Find Me feature allows for device GPS search of stops around you Save frequently used buses and stops for quick access See where your bus is on a map,access location and gps data you can track your location,LOCATION,,
Location: Used to access GPS for location-based experiments,app use location and gps information,LOCATION,,
used to determine your GPS or tower based location,find your current lcoation based on gps,LOCATION,,
"the App can access your location and GPS information to: send you notifications, process your tracking stats and determine your position ",app use location and gps information to track your location,LOCATION,,
Permissions to access location are strongly suggested,access location and gps data,LOCATION,,
Capture GPS Coordinates at time of Clock In\Out for verification of location,access location and gps data,LOCATION,,
"Find the nearest UPS location to pack, send, or collect your shipments ",the app access your current location you can search nearby location,LOCATION,,
"Pull up homes for sale or rent around you using the GPS search, or find homes based on address, city or zip code ",find homes for sale or rent based on your location data or find homes based on address or zip code,LOCATION,,
the app uses gps to identify your location,access your gps data to get current location,LOCATION,,
access your location to provide ad service,access location information to get nearby ads,LOCATION,,
access your current location to get nearby car rental positions,this app use your location information,LOCATION,,
get gps location details,access location and gps data,LOCATION,,
"access vehicle location, speed ",this app can get your current location and speed,LOCATION,,
location: to help you find trips near you and providing maps,find your current location to get nearby locations on the map,LOCATION,,
all the messages are displayed on a live map with the exact location that they were sent,access location and gps data,LOCATION,,
"feature supported by the precise location via gps, the position of the employees can be easily followed ",you can track location via gps data,LOCATION,,
share your location with a checkin and see friends nearby,the app read contact to read contacts,LOCATION,,
access your current location and get weather forcast.,find your current location to get weather based on your location and gps,LOCATION,,
"in the application, you will find the locations of attractions, shows, restaurants, shops and services, navigate to the park plan ",access your location information,LOCATION,,
real-time location tracking for field workers,app use gps data to track your location,LOCATION,,
access your location part of the maps/gps functionality,find your current location on the map,LOCATION,,
remember to activate push notifications and geolocation,app read your location data,LOCATION,,
find near-by properties by geo-location requires gps enabled device,this app can search nearby location using gps data of your device,LOCATION,,
"display your current location, and share your current location on social network. ",access location and gps data,LOCATION,,
find a safeway pharmacy near you by entering your zip code or using your current location,search using zip code or your location data,LOCATION,,
