Permission,Original Description,Synthesized Descritpion 1,Semantic Rating,Syntax rating,Length rating,Synthesized Descritpion 2,Semantic Rating,Syntax rating,Length rating
CAMERA,Option to Scan the barcode,you can use camera to scan barcode or qr code for scanning,4,4,4,this application uses camera permission,4,5,4
CAMERA,Simply take a new picture with your camera or pick a photo from Gallery and create a neat and wonderful photo pencil sketch,take photos with device camera and effects,4,5,3,you can take a photo from the device camera or select a image from gallery,4,5,4
CAMERA,Take a Picture From Camera ,take photos with your camera,5,4,5,you can use the camera to take a photo,5,5,5
CAMERA,Photo Shooter is an app that will give you facility to shoot the photo at specific time intervals,take a photo from your gallery or take from camera,3,5,3,camera access,3,2,2
CAMERA,You can bounce a virtual basketball through the camera via Bounce Ball (AR Basketball),you can take photos with your phone camera,2,5,3,select a photo from gallery or take a photo with the camera,1,4,4
CAMERA,Select a Photo from the Gallery or Take Photos using the Phone's Camera*,take a photo from your gallery or take from camera,5,4,4,camera access,3,5,2
CAMERA,The D-H Pharmacy application allows our customers to manage their prescriptions including request for prescription refills; refill by scanning your label,scan the qr code and barcode in your phone,2,4,3,the app will use camera permission,3,5,3
CAMERA,User can select their photo directly from camera,take pictures from phone gallery or take with camera,4,4,5,you can use the camera to take a photo,4,5,4
CAMERA,take photo by device camera,you can take photos with device camera and share it with friends,3,5,4,the app uses camera permission,3,5,3
CAMERA,Once you have applied your Battle Tats temporary tattoo simply scan it using the app,you can scan barcode in the phone,2,4,4,scan the camera,3,2,3
CAMERA,Use this scanner to get your loyalty points for your mob just focus on the QR code presented,you can scan the qr code with your phone,4,5,4,scan the camera,2,1,1
CAMERA,QR code payment advantages: Fast transactions Scan and confirm,scan qr code in the app,4,4,3,you can use the camera to take a picture,2,5,4
CAMERA,Collect your photo from the app's camera,take photo from camera or take from gallery,4,5,5,scan camera to scan the barcode,1,2,4
CAMERA,Scan any item's barcode anywhere and see its availability in your library,scan the qr code and barcode in your phone,5,4,4,you can take a photo from the device camera or select a image from gallery,2,5,3
CAMERA,Search and Customize thousands of quotes and share customize with different background images from camera,take pictures with device camera or you can take from gallery,4,5,4,record with your camera,3,4,2
CAMERA,Get to know them by using our video chat before meeting them,the app uses camera to record video and share it with your friend,4,4,4,get camera device of your camera,3,4,4
CAMERA,Laser Level is a level tool which uses the camera combined with the accelerometer giving the user close to perfect measurements of angles,take pictures close device angles or you can take of gallery,3,4,4,this application uses camera permission,2,4,3
CAMERA,MOREARVIE is a free; online; augmented reality application; which; by using the camera of any smart device; displays digital content on your screen within a 30 km radius from the reference point,use the camera to capture the photos or take pictures with camera,3,4,3,record videos using camera on your device,4,4,3
CAMERA,Record a video  using this video effects creator,the app can record video and take photos with camera,4,5,5,the app uses camera permission,4,5,4
CAMERA, In addition; you can bring your led camera flashlight to the party too,open flashlight from your phone camera and use it,4,5,5,take a picture with the camera or take from gallery,1,4,4
CAMERA,Snap a photo of your homework; and quickly get help with algebra; calculus; geometry; trigonometry; probability; statistics; math; science and more!,the app uses camera permission to take photos,3,5,3,you can use the camera to take pictures,4,5,3
CAMERA,Will Find in this application the amazing collection Of Wallpapers and its easy to Save it to your memory,the app uses camera permission to take photos,3,5,3,you can use the camera to take pictures,3,5,3
CAMERA,take picture from your camera; Apply effects and save or share your Photo,you can take a photo with camera or take from gallery and share,5,5,5,you can take photo with camera,4,5,4
CAMERA,Access Camera,you can scan it with device camera,3,5,4,you can use the camera to take a photo,4,5,4
CAMERA,Take a photo of your face (selfie) and photos of the ID documents that the app will ask for,the app use camera to take a photo,4,5,4,you can take a photo from the device camera or select a image from gallery,3,5,5
CAMERA,Choose the photograph from the camera,you can take pictures from phone gallery or take from camera,4,5,4,the app uses camera permission,4,5,5
CAMERA,upload a photo from camera,take photos with device camera or to take from gallery,3,3,4,camera access,3,5,4
CAMERA,This app platform empowers exhibitors to log leads generated at expos by scanning the badge,scan the qr code in the app and share it with your friends,3,4,4,you can use the camera to take a photo,3,5,3
CAMERA,You can select the service (Cleaning; Public Lighting; gardens; etc); type of incident to report; and to photograph it,take photos from gallery or take from camera,4,5,4,select a photo from gallery or take a photo with the camera,2,4,4
CAMERA,Select photo from your phone gallery or take photo by using the camera,you can select photo from gallery or take pictures with device camera,5,5,4,the app uses camera permission,3,5,3
CAMERA,now select a face; already saved in your gallery or capture it with camera,take a photo with your device camera,3,4,4,you can take photos with camera,4,5,3
CAMERA,The Smile Alarm Clock has face recognition feature that turn off the alarm only if you give it a bright sunny smile,the app uses camera permission to take photos,3,5,3,the app uses your camera of your device camera,2,4,2
CAMERA,take a selfie or Capture a picture with Camera or Select your photo from gallery,take pictures from gallery or take from camera,5,4,4,the app uses camera permission,3,5,3
CAMERA,An intelligent smartphone and action camera stabilizer for maximum stabilizatio control photo and video recording with the onboard joystick controls and enable object/face tracking during recording,you can record videos and take pictures with device camera,3,5,3,open camera to take the camera and take picture,3,3,3
CAMERA,An intelligent smartphone and action camera stabilizer for maximum stabilizatio control photo and video recording with the onboard joystick controls and enable object/face tracking during recording,you can record videos and take pictures with device camera,5,5,3,take the camera to take pictures,3,4,3
CAMERA,Photo / Camera-When writing a post; you need access to the function for taking pictures and attaching photos,take pictures with device camera or take from gallery,4,5,4,get camera device of your camera,4,4,3
CAMERA,HopBucket is a simple way to create a travel story from your photos,the app uses camera to take pictures,1,5,4,take a picture with the camera or take from gallery,3,5,4
CAMERA,Select Photo From Gallery or Camera,take photos from gallery or take from camera,5,5,5,scan with the camera,1,4,4
CAMERA,Choose photo from gallery or camera,you can take pictures from phone gallery or take from camera,5,5,4,the app uses your camera of your device camera,4,4,3
CAMERA,In-app barcode scanner for adding products,scan the barcode and qr with camera for scanning,3,4,5,this application use camera of your camera,3,4,5
CAMERA,Users can use Drive Cam Connect to control Snooper DVR-4HD to take pictures; video; time-lapse photography,the app uses camera to take pictures,4,5,4,take a picture with the camera or take from gallery,3,4,3
CAMERA,With the Toothpic app; you can get a checkup using just six photos taken on your phone,take pictures with camera in the app,4,4,3,get camera device of your camera,3,3,3
CAMERA,Select a photo from your image or take one with your phone camera,take photos from your phone gallery or take from camera,5,5,5,open camera to take photo,4,4,3
CAMERA,This is an ultimate hair color simulation application just take a picture or import from gallery,take pictures from gallery or take from camera,5,4,4,this application uses camera permission,3,5,3
CAMERA,Select a photo either from the gallery or take photo using phone's camera,take pictures from gallery or take from camera,5,4,4,this application use camera device,3,4,3
CAMERA,The best Android App for creating panoramasCreate beautiful; seamless 360 panoramic photos easily by utilizing the camera and the orientation sensor to know the exact angle each picture was takenExport to gallery folderThe following features are only included in the Pro version,the app uses camera permission,3,4,3,record with your camera,3,5,4
CAMERA,Bearings are recorded using the camera of your device,this app use camera to take photo and save from gallery,3,3,4,you can scan qr code using camera,1,5,3
CAMERA,Note: Picture and Video access is requested for the QR code scanner,scan the qr code in the app and share it with your friends,4,5,5,get camera device of your camera,3,3,3
CAMERA,Supports usage of QR codes to scan and manage asset; service and performance data,you can scan qr code or barcode with camera,3,5,2,this application uses camera permission,3,5,3
CAMERA,Camera is another function as a bonus for the user who has installed this app,this app use camera permission to take pictures,4,5,4,you can take a photo from the device camera or select a image from gallery,2,5,4
CAMERA,Capture or add videos from gallery,you can record video with camera,4,5,5,this application use camera device,3,5,5
CAMERA,Deposit checks by taking a picture with your device,the app uses camera permission to take pictures,5,5,5,open camera to take photo,3,5,4
CAMERA,Choose Images from Gallery or Capture through Camera,take photos from gallery or take from camera,5,5,5,you can use the camera to take pictures,4,4,4
CAMERA,Send complaints about Street Lights; Potholes and Garbage in your locality quickly and easily to your municipal authorities with pictures and location maps,you can take a photo with camera or take from gallery and share,3,5,3,you can scan qr code using camera,2,5,3
CAMERA,Select a photo from the gallery or take photos using the phone or tablet camera,take pictures from your phone gallery or take a photo from camera,5,4,4,you can use the camera to take a photo,4,5,4
CAMERA,Each attendee can download the free Lead Retrieval App from here and get it activated by scanning their own badge for an event,scan the qr in your phone,2,4,3,get camera device of your camera,3,3,3
CAMERA,In this app you can take pictures from gallery OR camera OR Facebook and make it Saen,take pictures from gallery or take from camera,4,5,4,camera access,4,2,2
CAMERA,Just tap the Capture button and move your phone slowly and steadily from left to right,take pictures with your device camera,3,5,3,get camera device of your camera,1,4,3
CAMERA,You select your photo from camera and gallery and make awesome face photo also you change your own photo with another person,take photos from gallery or take from camera,4,5,4,open camera to take photo,3,4,2
CAMERA,After downloaded this Women Suit Photo Editor; First select gallery photo or take new one,take photos with device camera and effects,4,5,4,take photos from camera or take photos from gallery,3,4,4
CAMERA,Select a photo from image gallery of take a new one,take pictures from gallery or take from camera,5,5,5,take pictures from gallery or to take pictures with camera,5,4,5
CAMERA,Click a photo from your camera or select one from gallery,you can take photos with camera or take pictures from gallery,5,5,5,camera access,3,2,2
CAMERA,Select a photo from gallery or take photo by using your phone camera,take photos with your device camera or you can select pictures from phone gallery,5,4,4,the app uses camera permission,3,5,3
CAMERA,Track and analyze your ball handling using only your phone camera,the app uses camera of your device to take pictures,4,5,5,scan with the camera,2,5,3
CAMERA,Super Flashlight Real Bright app functions the built-in camera Led-flash and delivers the brightest light source as likely,you can use flashlight of your camera from device camera,5,5,3,take a photo with camera or select your photo from gallery,2,5,3
CAMERA,Scan any item's barcode anywhere and see its availability in your library,you can scan the barcode and qr in your phone,4,4,4,you can take a photo from the device camera or select a image from gallery,2,5,5
CAMERA,Simply snap a photo; choose a style and enjoy! You'll be able to share with everyone the images you create,take photos with your camera and effects and you can share it with friends,5,5,5,scan the camera,3,3,2
CAMERA,Select your photos from gallery or take it from your phone camera,take photos from gallery or take from camera,5,4,4,you can take a photo from the device camera or select a image from gallery,5,5,5
CAMERA,Scan barcodes at the pet store and identify bad dog or cat food ingredients,scan the qr code or barcode with device camera,4,5,5,you can use the camera to take pictures,2,5,3
CAMERA,Choose photo from the gallery or take a photo with the camera; then apply the frame that you like and decorate with text,you can take photos effects using device camera,4,4,3,get camera device of your camera,2,3,3
CAMERA,Take a new photo or select one from your gallery on which you want to change eyebrows,take photos with device camera and effects,5,4,3,scan with the camera,2,5,3
CAMERA,Take a photo and translate you can take a photo of texts; words and phrases you are going to translate; and the dictionary will provide translation both offline and online,this app use camera to take photos,4,5,3,take pictures from gallery or to take pictures with camera,4,4,4
CAMERA,After installing the app on your device; simply scan the QR code which can be found in your room and place your order through a few simple steps,you can scan the qr code with your phone,4,4,3,you can use camera to take pictures,3,5,3
CAMERA,Take new photo or Select your Favourite picture in Gallery,take photos from gallery or take from camera,4,4,5,the app uses camera permission,3,5,3
CAMERA,carefully selected filters to make your videos/photos more beautiful than memories,take photos with your camera and effects and you can share it with friends,4,5,4,you can use the camera to take a photo,3,5,3
CAMERA,Multiple advanced camera shooting modes are supported: Timer; Burst; Reduced Noise; Wide Shot and Panorama,the app uses camera permission to take photos,3,5,3,camera access,3,2,2
CAMERA,add mini photo from camera or gallery,take pictures from your phone gallery or take a photo from camera,5,4,4,you can use the camera to take a photo,4,5,5
CAMERA,Introducing the Star Wars First Order Stormtrooper Robot with Companion App featuring a cutting-edge AR app experience; voice command; facial recognition; and sentry patrolling capabilities,the app uses camera permission to take pictures,3,4,3,scan camera to scan the barcode,2,4,3
CAMERA,Browse pictures from photo gallery; or take new one by camera; and start with editing photos,take photos from gallery or take from camera,4,5,4,take photos from camera or take photos from gallery,5,4,4
CAMERA,You can use the In-Built barcode scanner to scan the tracing code,scan the qr code or barcode with device camera,3,5,4,take pictures with device camera,2,4,3
CAMERA,Select a image from gallery; take image by using the camera,take pictures from camera or take from gallery,5,5,5,scan camera with your device camera,2,3,4
CAMERA,Select photos from gallery or capture new photo from camera,you can take photos from gallery or take from camera,4,4,5,take pictures with device camera,4,4,4
CAMERA,This is a FREE text scanner & converter application that scan your text that can later can be send via email or share on social media,you can scan and scan it with camera and share to your friends,4,3,4,the app uses camera permission,4,5,2
CAMERA,Xmas PIP camera is simple and easy to use application; with which you can create amazing Photo in Photo effects by combining photo blur and other photo effects to the christmas special photo frames,take photos with device camera and effects,4,4,4,take photos from camera or take photos from gallery,3,4,2
CAMERA,The important point is aiming the camera at the GROUND; NOT the object,the app uses camera permission to take photos,3,5,3,get camera device of your camera,3,3,3
CAMERA,Just select your photo from gallery and camera option,the app uses camera permission to take photos,1,5,3,you can use the camera to take a photo,4,5,5
CAMERA,This camera can take picture in high resolution as your default camera,take pictures with camera and you can share it with social media,4,4,5,scan the camera to scan qr code,1,2,3
CAMERA,You can use Bluetooth Headset as the remote controller of your phone to take a photo via Bluetooth Camera,take photos with camera or take photos from gallery,4,5,5,take photos from camera or take photos from gallery,4,4,4
CAMERA,Just Open Scan possibility prime of screen and easily purpose to QR or barcode you wish to scan; app can mechanically sight and scan it,you can scan the qr code or barcode in your phone for scanning,4,3,4,take a photo with camera or select your photo from gallery,2,5,3
CAMERA,You can also create new images or take from your camera,take pictures from gallery or take from camera,4,4,5,scan camera to scan the barcode,1,4,3
CAMERA,Take a photo and translate you can take a photo of texts; words and phrases you are going to translate,the app uses camera to take pictures,3,5,2,you can use the camera to take pictures,3,5,3
CAMERA,manage your finances; make card settlements; transfer funds and make payments using QR (Quick Response codes),scan the qr with your camera,5,4,2,this application uses camera permission,3,5,3
CAMERA,Make beautiful photos and videos with multiple shooting modes and photo effects!,you can take photos from camera,3,4,2,you can use the camera to take pictures,4,5,4
CAMERA,Take a photo and use face camera filters to swap faces with cute animals or add stickers on,take a photo with your device camera,4,4,3,take a photo with camera or select your photo from gallery,2,5,4
CAMERA,CAMERA : To take pictures with camera,take pictures with camera in your phone,5,5,4,scan with the camera,2,4,4
CAMERA,Now you can share audio; video; images and can take a picture with your phone camera for direct sharing,you can take a picture with camera and share it with your friends,5,5,4,record with your camera,4,5,4
CAMERA,Use your smartphone to scan and bag your items as you put them in your cart,scan the qr with your camera,2,5,3,you can use the camera to take pictures,2,5,3
CAMERA,Photograph your homework and other useful records; their photos will be stored in the app,take pictures from camera or take from gallery,3,4,4,the app will uses camera permission,3,5,4
CAMERA,Using this makeup application will help you to create a wonderful photo for this Halloween day,take photos with device camera or to take from gallery,3,4,4,take a picture with the camera or take from gallery,3,5,4
CAMERA,Flashlight Alert 2020Flash light on Call And SMS is a useful app to alert you when you receive a phone call or text message with the blink of your device flashlight or Torch light,the app uses camera and flashlight of your camera,3,4,4,you can use the camera to take a photo,1,5,2
CAMERA,Amaze your friends with the artistic expert photos from our camera app,take photos from gallery or take from camera,3,4,4,camera access,3,5,2
CAMERA,Buzzing PhotoWhich selfie works the best as the profile photo,take photos with your device camera,4,4,3,you can use the camera to take pictures,3,5,3
CAMERA,Use the cam LED light!,you can use flashlight of your camera from device camera,5,5,4,take photos from camera or take photos from gallery,1,5,3
CAMERA,Capture photos at important situation automatically,the app uses camera permission to take photos,4,5,4,you can use the camera to take a photo,4,5,4
CAMERA,Take a picture or select a photo from gallery,take a picture with device camera or take from gallery,5,4,5,the app will use camera permission,3,5,3
CAMERA,Scan your images or documents and save it into PDF format,scan the qr in your phone,2,5,3,take a photo with camera or select your photo from gallery,3,4,4
CAMERA,Your camera's flash (flash) camera will be used as a small light,this app uses camera permission,3,4,3,you can use the camera to take a photo,2,5,4
CAMERA,Use existing photos from your gallery or snap a new pic to use with the photo frames,take pictures with device camera,4,4,3,take a photo with camera or select your photo from gallery,5,5,5
CAMERA,The Osceola County Sheriff Office app allows users to report issues or concerns directly from their Android devices; with photos,the app uses camera to take pictures,3,5,3,this application uses camera permission,3,5,3
CAMERA,Camera: Needed to allow the user to take photos and post them to Classroom,you can take photos with camera and share it with your friends,4,5,5,select photos from the gallery,2,4,3
CAMERA,Camera: Needed to allow the user to take videos and post them to Classroom,the app use camera permission to record video and take pictures,4,5,4,open camera to take photo,4,5,4
CONTACT,Voice dialer will recognize contact and automatically make call for you,add events to calendar and add calendar,1,3,4,read contacts for the purpose of assigning ringtone to contact,2,5,4
CONTACT,assign ringtones to your contacts,set your contacts ringtone and as notification alarm,4,4,4,the app can read contacts to read contacts,3,2,3
CONTACT,assign ringtones to your contacts,set a ringtone for desired contact,5,5,5,read contacts for the purpose of assigning ringtone to contact,5,4,4
CONTACT,assign ringtones to your contacts,the app use use read contact permission,3,2,3,this app set ringtones set set to contacts,5,3,4
CONTACT,assign ringtones to your contacts,this app uses read contact permission to set ringtone,5,5,4,you can read read contacts to set ringtones to your contacts,5,5,4
CONTACT,assign ringtones to your contacts,read your contacts to assign ringtones for your contacts,5,5,4,this application uses read contact,3,2,5
CONTACT,assign ringtones to your contacts,set a ringtone for desired contact,5,5,5,read contacts for the purpose of assigning ringtone to contact,5,4,3
CONTACT,assign ringtones to your contacts,you can set contact ringtone to contact to read your contact,5,4,4,you can set contact ringtone to contact to read your contact,5,3,3
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ,save photo and ringtone for your contacts,4,4,4,the app read contacts to read contacts ,4,4,3
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ,you can assign ringtone to your contacts or contact,4,4,5,you can set contact ringtone to contact to read your contact,3,2,4
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ,the app uses read contact permission to assign ringtones for contacts,5,4,4,the app read contacts to read contacts ,3,3,3
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ,the app uses read contact permission to assign ringtones for contacts,5,5,4,this app set ringtones set set to contacts,5,2,5
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ,save photo and ringtone for your contacts,4,5,5,the application will use read contact permission,3,5,3
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ,set your contacts ringtone and as notification alarm,4,4,4,read contacts for the purpose of assigning ringtone to contact,5,4,4
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ,set your contacts ringtone and as notification alarm,4,5,5,you can set contact ringtone to contact to read your contact,5,4,4
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ,set a ringtone for desired contact,5,4,3,the app can read contacts to read contacts,2,2,3
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ,this app use read contact permission to set ringtone,5,5,4,read contacts for the purpose of assigning ringtone to contact,5,5,5
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ,this app read contact to assign ringtones to your contacts,5,5,5,this app set ringtones set set to contacts,5,4,3
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ,save photo and ringtone for your contacts,5,4,3,you can can set contact ringtone read contacts and contacts,3,2,4
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ,set your contacts ringtone and as notification alarm,5,4,4,read contacts for the purpose of assigning ringtone to contact,5,5,5
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ,the app use use read contact permission,3,2,3,the app can read contacts to read contacts,3,2,3
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ,read your contacts to assign ringtones for your contacts,5,5,5,this app set ringtones set set to contacts,5,3,3
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ,you can assign ringtone to your contacts or contact,5,5,3,this application uses contact permission,3,5,3
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ,read contact to your contacts and set ringtone for contact,5,3,4,you can set contact ringtone to contact to read your contact,5,3,4
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ,save photo and ringtone for your contacts,4,5,4,the app use contacts to read contacts and read contacts,3,3,3
CONTACT,Set as a ring tone; SMS notification alert; alarm sound or assign it to specific contacts ,this app read contact and you can set contact ringtone,4,5,5,this application use read contact,3,5,3
CONTACT,Contacts/Calendar; so Offi can route you to your contacts or location from a calendar event; store a connection in your calendar or e-mail it to your friends ,app use read contact permission to read your contact,4,5,4,the app read contacts to read contacts save contacts,3,2,3
CONTACT,Securely backs up contacts; messages; call logs to Bkav Cloud or SD Card ,save contact and sms to storage or sd card,5,5,5,app can read your contact,3,5,3
CONTACT,read sent and received SMS messages,this app uses read sms permission,4,5,5,the application use contact permission,2,5,3
CONTACT,app can help you manage ringtone of contacts ; assign different ringtone to each contact ,the app read your contacts to assign ringtone to your contacts,5,5,5,the app read contacts to set contact ringtone,5,5,4
CONTACT,Save as Ringtone/Music/Alarm/Notification; or assign it to a contact ,the app read your contacts to assign ringtone to your contacts,5,5,5,this application uses read contact,3,4,3
CONTACT,Set the new clip as default ringtone or assign to contacts; using this editor ,this app uses read contact permission,3,5,4,the app use use read contact permission,3,2,3
CONTACT,Customize specific tunes for individual contacts or allow the app to set randomized tunes from your playlist for all outgoing calls,save contact to your phone contact list,3,5,3,the application use contact permission,4,5,3
CONTACT,assign ringtones to your contacts,set a ringtone to  desired contact,5,5,5,the app read contacts to read contacts,2,5,4
CONTACT,Mark important calls and filter them for quick access;- Call back and open contacts right from the app,this app use read contact permission to read contact,3,5,3,the app can read your contacts,3,5,3
CONTACT,If you share a contact; a vCard will be generated on the fly ,save contact to file,4,5,5,this application use read contact,4,3,4
CONTACT,This app can import; export; and transfer your contacts.,this app will read contact to read contacts and save contacts to device,3,2,4,the app read contacts to read contacts,3,3,4
CONTACT,syncs with contacts and you?'?re ready to go. add your favorite contacts in app home screen to make the call within a couple of touches.,the app can can read contacts or contact,3,2,3,the app can read your contacts,4,5,3
CONTACT,it will not read your contacts saved in phone but you can create separate contact list so that contact would be added in jhingur as your preference.,app use can can read contact,1,3,2,the app uses contact permission to set contact ringtone,2,5,3
CONTACT,Set sound as default or contact ringtone,the app can read your contacts to assign ringtones for your contacts,5,5,4,the application uses contact permission,2,5,4
CONTACT,Read contacts: To read the device contacts to provide caller id information.,you can read contact contacts details,3,2,4,the app can read contacts,5,5,3
CONTACT,Contacts (read your contacts) - connecting Your contacts with profiles (name; avatar; sending reports),save photos to contact or contacts,1,3,3,this app read your contacts and read contacts,3,3,3
CONTACT,Find contacts who are already on Yabb and invite those who aren?'?t.,this app can read contact to read contacts,1,2,4,the app can read your contacts,3,5,3
CONTACT,Easily add friends to your contacts list with Yabb Auto-sync.,save contact to your phone book,5,4,3,the app save contacts and save your contact,3,3,4
CONTACT,Contacts Import: Import business contacts from Google contacts; phonebook or excel sheet.,you can download contact to device storage storage,3,2,3,app can read your contacts,3,5,3
CONTACT,Read your contacts is required for selecting some contact which will be used as target for a shortcut.,access your contact information,3,5,3,the app use read contact permission to read contact,4,4,4
CONTACT,Use your contact list to invite friends to events or find friends already using Bandsintown,the app use read contact to read contacts,2,5,4,set contact ringtones,2,3,2
CONTACT,Assign different melody for every contact,set a ringtone for desired contact,5,5,5,this app read your contacts and read contacts,3,2,4
CONTACT,Slide a contact to left to call or send a message directly and quickly call your favorite contacts!,the app use read contact to read contacts,3,5,3,read your contacts to set ringtone or notification alert sound,4,4,4
CONTACT,Set as a ring tone; SMS notification alert; alarm sound or assign it to specific contacts,the app can read your contacts to assign ringtones for your contacts,5,5,4,the app use read contact permission to read contact,3,5,3
CONTACT,READ_CONTACTS to read your contacts; Home screen widget displaying the upcoming birthday and anniversary dates of your contacts,this app can read contact to read contacts,3,3,3,the app uses read contact permission,4,5,3
CONTACT,Simply tap on the call tab on Skype Lite; and start the group call with your friends on Skype Lite. You can also share a Skype Lite group call link with your friends on popular social apps like WhatsApp; Facebook Messenger or SMS; and invite them to join the call.,read contacts and you can share the the the the,4,3,3,save contacts,2,5,2
CONTACT,This application allows you to transfer within a few seconds all your contacts to your new phone.,save contacts to your phone book,3,4,3,app can read your contacts and contacts,4,2,3
CONTACT,Barcode and QR scanner can scan and read all QR / barcode types including contact; email; and many other formats.,this app will use camera permission for qr code scanning and barcode,5,5,4,this application use read contact,2,5,3
CONTACT,Activate your astDial account; upload contact on cloud,the app can read your contacts,2,5,4,the app read contacts and read contacts,2,2,3
CONTACT,The phonebook Contacts App helps you to modify; delete and insert contact.,you can add new contact and add contacts,5,5,4,this app you can read contacts and read contacts,3,3,3
CONTACT,You can send an unlimited amount of messages; photos; videos and files of any type to your contacts and have group chat with up to 200 contacts at a time.,the app will read your contacts and you can send sms to contacts for contact,4,2,4,this app read your contacts and read contacts,3,4,3
CONTACT,This app uses Read Contacts permission to read contacts per your action taken.,the app will read contact,4,5,4,this application use read contact,4,3,3
CONTACT,This app uses Write Contacts permission to add/delete contacts as per your action taken.,save contacts or contact or add new contacts,5,4,3,set contact ringtones,2,5,3
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning the ringtone to desired contact,set ringtones for contacts,5,5,5,the app uses read contact permission to read contacts,4,5,4
CONTACT,You can import thousands of contacts into separate groups from a spreadsheet (CSV) in seconds. The contacts are synced real-time from your computer with your Android app.,save contacts to device storage storage,3,3,2,this app read contact to read your contacts,3,3,3
CONTACT,READ_CONTACT permission needed for autocompletion when you are using on screen keyboard.,this app read contact to read your contacts,4,4,4,save contact for your device,2,5,3
CONTACT,Recover Deleted All Photos; Files And Contacts.,save contact for your device,3,5,4,the app read your contacts to read contact,3,4,5
CONTACT,Set as a ring tone; SMS notification alert; alarm sound or assign it to specific contacts,you can set contact ringtones notification alert and save photo to contacts,5,5,5,this app uses read contact permission,3,5,3
CONTACT,You may create favorite contact list for privacy or may put contact list in the privacy to secure your contact while ring.,this app use contact permission,3,5,3,the application uses contact permission,3,5,3
CONTACT,Edit contacts and add notes to the people you meet.,save photo to contacts and you can use save contacts to device,2,4,4,the app read contacts and read contacts,3,2,3
CONTACT,Mobile Tracker App uses permission to read the contact and make user's to pick individual contact to store in the application and display picked contact numbers when user get in to this app.,the app read contact read contacts,3,2,3,this app will use read contact permission,4,4,2
CONTACT,PERMISSION for reading contacts: It allows you to share the same resources accross multiple projects.,this app will use read contact permission,4,5,3,the app read your contacts to read contact,3,3,3
CONTACT,Import persons from your contacts or a Google spreadsheet,save new contacts to your phone,4,5,4,app can read contact to read your contacts,4,3,4
CONTACT,You can create list from your contacts to exclude them from caller name announcement. Calling person name if exists in your contacts.,app can read contact to read your contacts,3,3,3,this application read your contacts to read contacts,3,3,3
CONTACT,Easily export contacts to Salesforce; SugarCRM or save as Excel files,save new contacts to your phone,4,4,4,the app can read contacts to read your contacts,3,3,3
CONTACT,CREAM assistant is also a base of your contacts; which can be quickly created and organized.,you can can the app use read contacts,4,3,3,you can use save the photo to contacts,2,5,4
CONTACT,Set ringtones photos for your contacts.,you can save photo to contacts,4,4,4,the app will save your contacts or contact to device,2,4,4
CONTACT,This application can restore all your MANUALLY deleted Contacts; and synchronize your all contacts,the app will save your contacts or contact to device,4,5,3,the app uses read contact permission to read contacts,3,4,3
CONTACT,syncs with contacts and you're ready to go; add your favorite contacts in app home screen to make the call within a couple of touches.,download contacts to your device storage,4,5,4,this app can read your contacts,2,4,2
CONTACT,this app need to read contacts from the device.,this app can read your contacts,5,5,5,the app can use read contact to read read contacts,5,2,5
CONTACT,READ CONTACTS: Required to display and read contact information.,the app use contact permission to read contacts,4,4,4,this app uses write contact permission to write contacts,4,5,5
CONTACT,WRITE CONTACTS: Required write contact information.,this app uses write contact permission to write contacts,5,5,5,this app uses read contacts and read contacts,2,3,4
CONTACT,this app requires read contacts.,this app will use read contact to read your contacts list,5,3,4,the app can add contacts and add contacts,3,2,4
CONTACT,this app need write contact permission to create new contacts.,you can add new contacts and and and save contacts to device storage storage,5,1,3,the app use contact permission to read contacts,2,5,4
