Permission,Original Description,DecribeCtx-Ctx Descritpion,Semantic Rating,Syntax rating,Length rating,DecribeCtx Descritpion,Semantic Rating,Syntax rating,Length rating,Code2Vec Descritpion,Semantic Rating,Syntax rating,Length rating
CAMERA,Bearings are recorded using the camera of your device,you can scan qr code using camera,3,4,4,the app uses camera permission,3,5,3,you can scan qr code using camera,3,4,4
CAMERA,Note: Picture and Video access is requested for the QR code scanner,get camera device of your camera,2,3,2,this app use camera to take photo and save from gallery,4,4,5,take photos from gallery or take photos from camera,2,4,4
CAMERA,Supports usage of QR codes to scan and manage asset; service and performance data,this application uses camera permission,3,4,3,scan the qr code in the app and share it with your friends,4,4,5,this application uses camera permission,3,4,3
CAMERA,Camera is another function as a bonus for the user who has installed this app,you can take a photo from the device camera or select a image from gallery,2,4,5,you can scan qr code or barcode with camera,4,4,3,take photos from gallery or take photos from camera,3,4,3
CAMERA,Capture or add videos from gallery,this application use camera device,4,5,5,this app use camera permission to take pictures,4,5,5,this application use camera device,4,5,5
CAMERA,Deposit checks by taking a picture with your device,open camera to take photo,3,4,4,you can record video with camera,3,5,4,select a photo from gallery or take a photo with the camera,5,5,4
CAMERA,Choose Images from Gallery or Capture through Camera,you can use the camera to take pictures,3,4,4,the app uses camera permission to take pictures,5,4,4,you can use the camera to take pictures,3,4,4
CAMERA,Send complaints about Street Lights; Potholes and Garbage in your locality quickly and easily to your municipal authorities with pictures and location maps,you can scan qr code using camera,2,4,1,take photos from gallery or take from camera,2,4,2,you can scan qr code using camera,2,4,1
CAMERA,Select a photo from the gallery or take photos using the phone or tablet camera,you can use the camera to take a photo,3,5,4,you can take a photo with camera or take from gallery and share,5,2,5,you can use the camera to take a photo,3,5,4
CAMERA,Each attendee can download the free Lead Retrieval App from here and get it activated by scanning their own badge for an event,get camera device of your camera,3,2,3,take pictures from your phone gallery or take a photo from camera,2,5,4,get camera device of your camera,3,2,3
CAMERA,In this app you can take pictures from gallery OR camera OR Facebook and make it Saen,camera access,3,2,3,scan the qr in your phone,4,4,3,take photos from gallery or take photos from camera,3,5,4
CAMERA,Just tap the Capture button and move your phone slowly and steadily from left to right,get camera device of your camera,2,3,2,take pictures from gallery or take from camera,4,4,2,take a photo from camera,2,4,1
CAMERA,You select your photo from camera and gallery and make awesome face photo also you change your own photo with another person,open camera to take photo,3,4,3,take pictures with your device camera,4,4,3,take the camera or take a photo,2,3,3
CAMERA,After downloaded this Women Suit Photo Editor; First select gallery photo or take new one,take photos from camera or take photos from gallery,4,5,4,take photos from gallery or take from camera,4,5,4,take photos from camera or take photos from gallery,4,5,4
CAMERA,Select a photo from image gallery of take a new one,take pictures from gallery or to take pictures with camera,5,5,5,take photos with device camera and effects,5,5,4,take pictures from gallery or to take pictures with camera,5,5,5
CAMERA,Click a photo from your camera or select one from gallery,camera access,3,4,3,take pictures from gallery or take from camera,5,5,4,camera access,3,4,3
CAMERA,Select a photo from gallery or take photo by using your phone camera,the app uses camera permission,3,5,2,you can take photos with camera or take pictures from gallery,5,4,5,the app uses camera permission,3,5,2
CAMERA,Track and analyze your ball handling using only your phone camera,scan with the camera,3,4,2,take photos with your device camera or you can select pictures from phone gallery,3,4,4,scan code and scan barcode,2,4,2
CAMERA,Super Flashlight Real Bright app functions the built-in camera Led-flash and delivers the brightest light source as likely,take a photo with camera or select your photo from gallery,2,4,3,the app uses camera of your device to take pictures,4,5,3,take a photo with camera or select your photo from gallery,2,4,3
CAMERA,Scan any item's barcode anywhere and see its availability in your library,you can take a photo from the device camera or select a image from gallery,2,4,4,you can use flashlight of your camera from device camera,4,4,4,take photos from gallery or take photos from camera,2,4,4
CAMERA,Simply snap a photo; choose a style and enjoy! You'll be able to share with everyone the images you create,scan the camera,2,3,3,you can scan the barcode and qr in your phone,5,5,4,scan the camera,2,3,3
CAMERA,Select your photos from gallery or take it from your phone camera,you can take a photo from the device camera or select a image from gallery,5,5,4,take photos with your camera and effects and you can share it with friends,5,5,5,take photos from gallery or take photos from camera,5,5,4
CAMERA,Scan barcodes at the pet store and identify bad dog or cat food ingredients,you can use the camera to take pictures,2,5,3,take photos from gallery or take from camera,4,4,3,you can use the camera to take pictures,2,5,3
CAMERA,Choose photo from the gallery or take a photo with the camera; then apply the frame that you like and decorate with text,get camera device of your camera,3,2,3,scan the qr code or barcode with device camera,4,4,3,select a photo from gallery or take a photo with the camera,4,5,4
CAMERA,Take a new photo or select one from your gallery on which you want to change eyebrows,scan with the camera,2,5,3,you can take photos effects using device camera,3,4,4,scan with the camera,2,5,3
CAMERA,Take a photo and translate you can take a photo of texts; words and phrases you are going to translate; and the dictionary will provide translation both offline and online,take pictures from gallery or to take pictures with camera,2,4,1,take photos with device camera and effects,2,4,1,take a photo from camera,3,4,1
CAMERA,After installing the app on your device; simply scan the QR code which can be found in your room and place your order through a few simple steps,you can use camera to take pictures,2,5,1,this app use camera to take photos,4,4,1,you can use camera to take pictures,2,5,1
CAMERA,Take new photo or Select your Favourite picture in Gallery,the app uses camera permission,3,5,4,you can scan the qr code with your phone,5,5,5,the app uses camera permission,3,5,4
CAMERA,carefully selected filters to make your videos/photos more beautiful than memories,you can use the camera to take a photo,2,5,4,take photos from gallery or take from camera,4,4,4,take the app with camera or take a photo,2,4,4
CAMERA,Multiple advanced camera shooting modes are supported: Timer; Burst; Reduced Noise; Wide Shot and Panorama,camera access,2,4,1,take photos with your camera and effects and you can share it with friends,3,4,5,take the app with camera or take a photo,2,4,3
CAMERA,add mini photo from camera or gallery,you can use the camera to take a photo,4,5,4,the app uses camera permission to take photos,4,5,5,you can use the camera to take a photo,4,5,4
CAMERA,Introducing the Star Wars First Order Stormtrooper Robot with Companion App featuring a cutting-edge AR app experience; voice command; facial recognition; and sentry patrolling capabilities,scan camera to scan the barcode,2,3,3,take pictures from your phone gallery or take a photo from camera,2,4,4,scan camera to scan the barcode,2,3,3
CAMERA,Browse pictures from photo gallery; or take new one by camera; and start with editing photos,take photos from camera or take photos from gallery,5,4,4,the app uses camera permission to take pictures,4,4,4,take photos from gallery or take photos from camera,5,4,4
CAMERA,You can use the In-Built barcode scanner to scan the tracing code,take pictures with device camera,2,5,4,take photos from gallery or take from camera,5,4,4,take a photo from camera,3,4,4
CAMERA,Select a image from gallery; take image by using the camera,scan camera with your device camera,2,4,4,scan the qr code or barcode with device camera,5,2,5,scan the camera and barcode to scan,2,2,4
CAMERA,Select photos from gallery or capture new photo from camera,take pictures with device camera,3,5,2,take pictures from camera or take from gallery,5,4,4,take pictures with device camera,3,5,2
CAMERA,This is a FREE text scanner & converter application that scan your text that can later can be send via email or share on social media,the app uses camera permission,2,5,1,you can take photos from gallery or take from camera,4,4,2,the app uses camera permission,2,5,1
CAMERA,Xmas PIP camera is simple and easy to use application; with which you can create amazing Photo in Photo effects by combining photo blur and other photo effects to the christmas special photo frames,take photos from camera or take photos from gallery,4,5,3,you can scan and scan it with camera and share to your friends,3,3,3,take photos from camera or take photos from gallery,4,5,3
CAMERA,The important point is aiming the camera at the GROUND; NOT the object,get camera device of your camera,3,3,2,you can take a photo with camera or take from gallery and share,3,4,5,get camera device of your camera,3,3,2
CAMERA,Just select your photo from gallery and camera option,you can use the camera to take a photo,3,5,5,the app uses camera permission to take photos,5,5,5,you can use the camera to take a photo,3,5,5
CAMERA,This camera can take picture in high resolution as your default camera,scan the camera to scan qr code,2,2,4,the app uses camera permission to take photos,3,5,4,scan the camera to scan qr code,2,2,4
CAMERA,You can use Bluetooth Headset as the remote controller of your phone to take a photo via Bluetooth Camera,take photos from camera or take photos from gallery,3,4,2,take pictures with camera and you can share it with social media,3,4,4,take a photo from camera,4,4,1
CAMERA,Just Open Scan possibility prime of screen and easily purpose to QR or barcode you wish to scan; app can mechanically sight and scan it,take a photo with camera or select your photo from gallery,3,5,4,take photos with camera or take photos from gallery,4,5,3,take a photo with camera or select your photo from gallery,3,5,4
CAMERA,You can also create new images or take from your camera,scan camera to scan the barcode,2,5,4,you can scan the qr code or barcode in your phone for scanning,5,3,4,scan camera to scan the barcode,2,4,4
CAMERA,Take a photo and translate you can take a photo of texts; words and phrases you are going to translate,you can use the camera to take pictures,3,5,2,take pictures from gallery or take from camera,3,4,2,take a photo with camera or select your photo from gallery,3,4,3
CAMERA,manage your finances; make card settlements; transfer funds and make payments using QR (Quick Response codes),this application uses camera permission,3,4,3,the app uses camera to take pictures,4,5,4,this application uses camera permission,2,4,3
CAMERA,Make beautiful photos and videos with multiple shooting modes and photo effects!,you can use the camera to take pictures,2,5,4,scan the qr with your camera,5,4,2,you can use the camera to take pictures,2,5,4
CAMERA,Take a photo and use face camera filters to swap faces with cute animals or add stickers on,take a photo with camera or select your photo from gallery,3,4,3,you can take photos from camera,3,4,1,take a photo with camera or select your photo from gallery,3,4,3
CAMERA,CAMERA : To take pictures with camera,scan with the camera,3,4,3,take a photo with your device camera,5,4,5,scan with the camera,3,4,3
CAMERA,Now you can share audio; video; images and can take a picture with your phone camera for direct sharing,record with your camera,3,4,1,take pictures with camera in your phone,4,4,2,take the camera or take a photo,3,3,2
CAMERA,Use your smartphone to scan and bag your items as you put them in your cart,you can use the camera to take pictures,3,4,3,you can take a picture with camera and share it with your friends,3,4,4,you can use the camera to take pictures,3,4,3
CAMERA,Photograph your homework and other useful records; their photos will be stored in the app,the app will uses camera permission,3,5,2,scan the qr code and barcode in your phone,3,5,3,take photos from gallery or take photos from camera,3,4,3
CAMERA,Using this makeup application will help you to create a wonderful photo for this Halloween day,take a picture with the camera or take from gallery,4,5,4,take pictures from camera or take from gallery,3,4,4,take a picture with the camera or take from gallery,4,5,4
CAMERA,Flashlight Alert 2020Flash light on Call And SMS is a useful app to alert you when you receive a phone call or text message with the blink of your device flashlight or Torch light,you can use the camera to take a photo,2,5,1,take photos with device camera or to take from gallery,4,4,1,you can use the camera to take a photo,2,5,1
CAMERA,Amaze your friends with the artistic expert photos from our camera app,camera access,3,2,3,the app uses camera and flashlight of your camera,3,3,4,take photos from gallery or take photos from camera,3,3,4
CAMERA,Buzzing PhotoWhich selfie works the best as the profile photo,you can use the camera to take pictures,4,5,4,take photos from gallery or take from camera,3,5,4,take a photo from camera,4,4,4
CAMERA,Use the cam LED light!,take photos from camera or take photos from gallery,2,4,3,take photos with your device camera,5,4,4,take photos from camera or take photos from gallery,2,4,3
CAMERA,Capture photos at important situation automatically,you can use the camera to take a photo,3,5,4,you can use flashlight of your camera from device camera,3,4,3,you can use the camera to take a photo,3,5,4
CAMERA,Take a picture or select a photo from gallery,the app will use camera permission,3,5,4,the app uses camera permission to take photos,5,4,5,the app will use camera permission,3,5,4
CAMERA,Scan your images or documents and save it into PDF format,take a photo with camera or select your photo from gallery,3,5,5,take a picture with device camera or take from gallery,2,5,5,take a photo with camera or select your photo from gallery,3,5,5
CAMERA,Your camera's flash (flash) camera will be used as a small light,you can use the camera to take a photo,1,4,3,scan the qr in your phone,3,4,3,select a photo from gallery or take a photo with the camera,1,4,4
STORAGE,Use existing photos from your gallery or snap a new pic to use with the photo frames,take a photo with camera or select your photo from gallery,4,5,4,this app uses camera permission,3,5,3,take a photo with camera or select your photo from gallery,4,5,4
CAMERA,The Osceola County Sheriff Office app allows users to report issues or concerns directly from their Android devices; with photos,this application uses camera permission,3,5,3,take pictures with device camera,3,5,3,this application uses camera permission,3,5,3
CAMERA,Camera: Needed to allow the user to take photos and post them to Classroom,select photos from the gallery,2,5,3,the app uses camera to take pictures,4,5,4,select photos from the gallery,2,5,3
CAMERA,Camera: Needed to allow the user to take videos and post them to Classroom,open camera to take photo,3,4,2,you can take photos with camera and share it with your friends,3,4,5,take the app with camera or take a photo,3,4,4
CONTACT,Voice dialer will recognize contact and automatically make call for you,read contacts for the purpose of assigning ringtone to contact,2,5,5,the app use camera permission to record video and take pictures,2,4,5,the app read contacts to read your contacts,3,3,4
CONTACT,assign ringtones to your contacts,the app can read contacts to read contacts,3,3,3,set your contacts ringtone and as notification alarm,4,4,3,the app can read contacts to read contacts,3,3,3
CONTACT,assign ringtones to your contacts,read contacts for the purpose of assigning ringtone to contact,5,4,2,set a ringtone for desired contact,4,5,4,read your contacts to contacts,3,3,5
CONTACT,assign ringtones to your contacts,this app set ringtones set set to contacts,4,2,3,the app use use read contact permission,3,3,4,set ringtones to your contacts,4,5,5
CONTACT,assign ringtones to your contacts,you can read read contacts to set ringtones to your contacts,4,2,4,this app uses read contact permission to set ringtone,5,5,3,you can read read contacts to set ringtones to your contacts,4,2,4
CONTACT,assign ringtones to your contacts,this application uses read contact,3,3,5,read your contacts to assign ringtones for your contacts,5,4,4,this application uses read contact,3,3,5
CONTACT,assign ringtones to your contacts,read contacts for the purpose of assigning ringtone to contact,5,4,2,set a ringtone for desired contact,4,5,4,read contacts for the purpose of assigning ringtone to contact,5,4,2
CONTACT,assign ringtones to your contacts,you can set contact ringtone to contact to read your contact,5,2,3,you can set contact ringtone to contact to read your contact,5,2,3,the app can read contacts to read contacts,3,2,3
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ,the app read contacts to read contacts ,2,3,3,save photo and ringtone for your contacts,3,4,2,the app read contacts to read your contacts,2,3,3
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ,you can set contact ringtone to contact to read your contact,3,4,4,you can assign ringtone to your contacts or contact,4,3,3,read your contacts to contacts,3,3,1
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ,the app read contacts to read contacts ,3,2,4,the app uses read contact permission to assign ringtones for contacts,5,5,4,the app read contacts to read contacts ,3,2,4
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ,this app set ringtones set set to contacts,3,2,3,the app uses read contact permission to assign ringtones for contacts,4,5,4,this app set ringtones set set to contacts,3,2,3
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ,the application will use read contact permission,3,5,2,save photo and ringtone for your contacts,3,4,2,the application will use read contact permission,3,5,2
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ,read contacts for the purpose of assigning ringtone to contact,5,5,4,set your contacts ringtone and as notification alarm,4,4,4,the app read contacts to read your contacts,3,3,4
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ,you can set contact ringtone to contact to read your contact,3,4,4,set your contacts ringtone and as notification alarm,3,4,3,set contact ringtones,3,5,1
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ,the app can read contacts to read contacts,2,3,3,set a ringtone for desired contact,4,5,2,read contacts and your contacts,3,3,1
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ,read contacts for the purpose of assigning ringtone to contact,3,4,4,this app use read contact permission to set ringtone,3,4,4,read contacts for the purpose of assigning ringtone to contact,3,4,4
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ,this app set ringtones set set to contacts,5,3,4,this app read contact to assign ringtones to your contacts,5,4,4,read contacts for the purpose of assigning ringtone to contact,5,5,4
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ,you can can set contact ringtone read contacts and contacts,4,2,4,save photo and ringtone for your contacts,4,4,4,set contact ringtones,2,4,3
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ,read contacts for the purpose of assigning ringtone to contact,4,4,4,set your contacts ringtone and as notification alarm,3,4,3,read your contacts to contacts,3,3,1
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ,the app can read contacts to read contacts,2,3,3,the app use use read contact permission,3,3,2,the app can read contacts to read contacts,2,3,3
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ,this app set ringtones set set to contacts,5,3,4,read your contacts to assign ringtones for your contacts,5,5,4,set ringtones to your contacts,5,5,3
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ,this application uses contact permission,3,5,1,you can assign ringtone to your contacts or contact,4,3,3,set contact ringtones,3,5,1
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ,you can set contact ringtone to contact to read your contact,5,2,4,read contact to your contacts and set ringtone for contact,4,3,4,you can set contact ringtone to contact to read your contact,5,2,4
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ,the app use contacts to read contacts and read contacts,3,3,4,save photo and ringtone for your contacts,3,4,2,the app use contacts to read contacts and read contacts,3,3,4
CONTACT,Set as a ring tone; SMS notification alert; alarm sound or assign it to specific contacts ,this application use read contact,3,4,3,this app read contact and you can set contact ringtone,4,4,4,this application use read contact,3,4,3
CONTACT,Contacts/Calendar; so Offi can route you to your contacts or location from a calendar event; store a connection in your calendar or e-mail it to your friends ,the app read contacts to read contacts save contacts,2,3,1,app use read contact permission to read your contact,2,4,1,the app read contacts to read contacts save contacts,2,3,1
CONTACT,Securely backs up contacts; messages; call logs to Bkav Cloud or SD Card ,app can read your contact,2,5,2,save contact and sms to storage or sd card,3,4,4,app can read your contact,2,5,2
CONTACT,read sent and received SMS messages,the application use contact permission,3,4,5,this app uses read sms permission,4,5,5,read contacts and your contacts,3,2,5
CONTACT,app can help you manage ringtone of contacts ; assign different ringtone to each contact ,the app read contacts to set contact ringtone,4,4,2,the app read your contacts to assign ringtone to your contacts,4,5,4,the app read contacts to set contact ringtone,4,4,2
CONTACT,Save as Ringtone/Music/Alarm/Notification; or assign it to a contact ,this application uses read contact,2,2,4,the app read your contacts to assign ringtone to your contacts,5,5,5,you can use contacts and your contacts,2,2,4
CONTACT,Set the new clip as default ringtone or assign to contacts; using this editor ,the app use use read contact permission,3,3,2,this app uses read contact permission,3,5,2,the app can read contacts to read contacts,2,3,3
CONTACT,Customize specific tunes for individual contacts or allow the app to set randomized tunes from your playlist for all outgoing calls,the application use contact permission,2,4,1,save contact to your phone contact list,2,4,1,the app read contacts to read your contacts,3,3,2
CONTACT,assign ringtones to your contacts,the app read contacts to read contacts,3,3,4,set a ringtone to  desired contact,4,5,4,the app read contacts to read contacts,3,3,4
CONTACT,Mark important calls and filter them for quick access;- Call back and open contacts right from the app,the app can read your contacts,3,5,3,this app use read contact permission to read contact,4,4,4,the app can read your contacts,3,5,3
CONTACT,If you share a contact; a vCard will be generated on the fly ,this application use read contact,3,4,2,save contact to file,3,4,1,read contacts and your contacts,3,3,2
CONTACT,This app can import; export; and transfer your contacts.,the app read contacts to read contacts,4,3,4,this app will read contact to read contacts and save contacts to device,3,3,4,the app read contacts to read contacts,4,3,4
CONTACT,syncs with contacts and you?'?re ready to go. add your favorite contacts in app home screen to make the call within a couple of touches.,the app can read your contacts,3,5,1,the app can can read contacts or contact,3,2,1,the app can read your contacts,3,5,1
CONTACT,it will not read your contacts saved in phone but you can create separate contact list so that contact would be added in jhingur as your preference.,the app uses contact permission to set contact ringtone,2,5,1,app use can can read contact,3,3,1,the app uses contact permission to set contact ringtone,2,5,1
CONTACT,Set sound as default or contact ringtone,the application uses contact permission,3,5,4,the app can read your contacts to assign ringtones for your contacts,3,5,3,the application uses contact permission,3,5,4
CONTACT,Read contacts: To read the device contacts to provide caller id information.,the app can read contacts,4,3,4,you can read contact contacts details,4,3,4,the app can read contacts,4,3,4
CONTACT,Contacts (read your contacts) - connecting Your contacts with profiles (name; avatar; sending reports),this app read your contacts and read contacts,3,3,3,save photos to contact or contacts,3,3,2,the app read contacts to read your contacts,3,3,3
CONTACT,Find contacts who are already on Yabb and invite those who aren?'?t.,the app can read your contacts,4,5,4,this app can read contact to read contacts,4,3,4,read contacts and your contacts,4,3,4
CONTACT,Easily add friends to your contacts list with Yabb Auto-sync.,the app save contacts and save your contact,3,3,4,save contact to your phone book,3,4,3,read your contacts to contacts,3,3,2
CONTACT,Contacts Import: Import business contacts from Google contacts; phonebook or excel sheet.,app can read your contacts,3,5,2,you can download contact to device storage storage,3,3,4,app can read your contacts,3,5,2
CONTACT,Read your contacts is required for selecting some contact which will be used as target for a shortcut.,the app use read contact permission to read contact,4,4,2,access your contact information,3,5,1,the app use read contact permission to read contact,4,4,2
CONTACT,Use your contact list to invite friends to events or find friends already using Bandsintown,set contact ringtones,2,5,1,the app use read contact to read contacts,3,3,3,you can use contacts and your contacts,3,3,2
CONTACT,Assign different melody for every contact,this app read your contacts and read contacts,3,3,4,set a ringtone for desired contact,5,5,5,set contact ringtones,5,4,4
CONTACT,Slide a contact to left to call or send a message directly and quickly call your favorite contacts!,read your contacts to set ringtone or notification alert sound,2,4,3,the app use read contact to read contacts,2,3,2,the app read contacts to read your contacts,2,3,2
CONTACT,Set as a ring tone; SMS notification alert; alarm sound or assign it to specific contacts,the app use read contact permission to read contact,3,2,4,the app can read your contacts to assign ringtones for your contacts,5,5,4,the app use read contact permission to read contact,3,2,4
CONTACT,READ_CONTACTS to read your contacts; Home screen widget displaying the upcoming birthday and anniversary dates of your contacts,the app uses read contact permission,3,5,3,this app can read contact to read contacts,3,3,4,the app uses read contact permission,3,5,3
CONTACT,Simply tap on the call tab on Skype Lite; and start the group call with your friends on Skype Lite. You can also share a Skype Lite group call link with your friends on popular social apps like WhatsApp; Facebook Messenger or SMS; and invite them to join the call.,save contacts,2,5,1,read contacts and you can share the the the the,2,1,1,the app can read contacts to read contacts,2,3,1
CONTACT,This application allows you to transfer within a few seconds all your contacts to your new phone.,app can read your contacts and contacts,3,3,2,save contacts to your phone book,3,5,2,app can read your contacts and contacts,3,3,2
CONTACT,Barcode and QR scanner can scan and read all QR / barcode types including contact; email; and many other formats.,this application use read contact,3,4,3,this app will use camera permission for qr code scanning and barcode,4,5,4,this application use read contact,3,4,3
CONTACT,Activate your astDial account; upload contact on cloud,the app read contacts and read contacts,3,3,5,the app can read your contacts,3,5,4,the app read contacts and read contacts,3,3,5
CONTACT,The phonebook Contacts App helps you to modify; delete and insert contact.,this app you can read contacts and read contacts,3,2,4,you can add new contact and add contacts,4,2,4,this app you can read contacts and read contacts,3,2,4
CONTACT,You can send an unlimited amount of messages; photos; videos and files of any type to your contacts and have group chat with up to 200 contacts at a time.,this app read your contacts and read contacts,2,3,1,the app will read your contacts and you can send sms to contacts for contact,3,3,2,the app read contacts to read your contacts,2,3,1
CONTACT,This app uses Read Contacts permission to read contacts per your action taken.,this application use read contact,4,4,2,the app will read contact,4,5,2,this application use read contact,4,4,2
CONTACT,This app uses Write Contacts permission to add/delete contacts as per your action taken.,set contact ringtones,2,4,3,save contacts or contact or add new contacts,4,3,4,set contact ringtones,2,4,3
CONTACT,READ_CONTACTS; WRITE_CONTACTS: for internal use for the purpose of assigning the ringtone to desired contact,the app uses read contact permission to read contacts,3,5,4,set ringtones for contacts,5,5,3,the app uses read contact permission to read contacts,3,5,4
CONTACT,You can import thousands of contacts into separate groups from a spreadsheet (CSV) in seconds. The contacts are synced real-time from your computer with your Android app.,this app read contact to read your contacts,3,2,3,save contacts to device storage storage,3,2,3,read contacts and your contacts,3,2,3
CONTACT,READ_CONTACT permission needed for autocompletion when you are using on screen keyboard.,save contact for your device,2,3,4,this app read contact to read your contacts,4,2,4,save contact for your device,2,3,4
CONTACT,Recover Deleted All Photos; Files And Contacts.,the app read your contacts to read contact,3,3,5,save contact for your device,3,4,4,the app read your contacts to read contact,3,3,5
CONTACT,Set as a ring tone; SMS notification alert; alarm sound or assign it to specific contacts,this app uses read contact permission,2,5,2,you can set contact ringtones notification alert and save photo to contacts,3,4,4,this app uses read contact permission,2,5,2
CONTACT,You may create favorite contact list for privacy or may put contact list in the privacy to secure your contact while ring.,the application uses contact permission,2,5,1,this app use contact permission,2,4,1,the app can read contacts to read contacts,2,3,2
CONTACT,Edit contacts and add notes to the people you meet.,the app read contacts and read contacts,3,3,4,save photo to contacts and you can use save contacts to device,3,3,5,you can use contacts and your contacts,3,5,4
CONTACT,Mobile Tracker App uses permission to read the contact and make user's to pick individual contact to store in the application and display picked contact numbers when user get in to this app.,this app will use read contact permission,4,5,3,the app read contact read contacts,4,2,3,the app can read contacts to read contacts,4,2,3
CONTACT,PERMISSION for reading contacts: It allows you to share the same resources accross multiple projects.,the app read your contacts to read contact,3,3,3,this app will use read contact permission,3,5,2,the app read your contacts to read contact,3,3,3
CONTACT,Import persons from your contacts or a Google spreadsheet,app can read contact to read your contacts,4,3,5,save new contacts to your phone,4,5,4,app can read contact to read your contacts,4,3,5
CONTACT,You can create list from your contacts to exclude them from caller name announcement. Calling person name if exists in your contacts.,this application read your contacts to read contacts,2,3,2,app can read contact to read your contacts,2,3,2,read contacts and your contacts,2,3,1
CONTACT,Easily export contacts to Salesforce; SugarCRM or save as Excel files,the app can read contacts to read your contacts,3,3,4,save new contacts to your phone,3,5,3,read contacts and your contacts,3,3,2
CONTACT,CREAM assistant is also a base of your contacts; which can be quickly created and organized.,you can use save the photo to contacts,2,3,4,you can can the app use read contacts,3,2,4,you can use save the photo to contacts,2,3,4
CONTACT,Set ringtones photos for your contacts.,the app will save your contacts or contact to device,3,3,3,you can save photo to contacts,4,4,5,the app will save your contacts or contact to device,3,3,3
CONTACT,This application can restore all your MANUALLY deleted Contacts; and synchronize your all contacts,the app uses read contact permission to read contacts,3,4,4,the app will save your contacts or contact to device,3,3,4,read your contacts to contacts,3,3,2
CONTACT,syncs with contacts and you're ready to go; add your favorite contacts in app home screen to make the call within a couple of touches.,this app can read your contacts,3,5,1,download contacts to your device storage,2,5,1,read your contacts to contacts,2,3,1
CONTACT,this app need to read contacts from the device.,the app can use read contact to read read contacts,4,2,5,this app can read your contacts,5,5,4,the app can use read contact to read read contacts,4,2,5
CONTACT,READ CONTACTS: Required to display and read contact information.,this app uses write contact permission to write contacts,2,4,4,the app use contact permission to read contacts,3,3,4,this app uses write contact permission to write contacts,2,2,4
CONTACT,WRITE CONTACTS: Required write contact information.,this app uses read contacts and read contacts,3,3,4,this app uses write contact permission to write contacts,3,5,4,this app uses read contacts and read contacts,3,3,4
CONTACT,this app requires read contacts.,the app can add contacts and add contacts,2,2,3,this app will use read contact to read your contacts list,4,2,4,the app can add contacts and add contacts,2,2,3
CONTACT,this app need write contact permission to create new contacts.,the app use contact permission to read contacts,4,4,4,you can add new contacts and and and save contacts to device storage storage,3,1,4,the app use contact permission to read contacts,4,4,4
CONTACT,Contact Recovery can restore your deleted contacts from your internal phone database and restore them in the original Contact thread,this app uses read contact permission,2,5,1,the app use contact permission to read contacts,2,4,2,this app uses read contact permission,2,5,1
CONTACT,read & write contacts- to assign ringtone for a specific contact.,our apps use contact permission to read your contacts and contacts,3,2,5,set contact ringtones for contact,5,3,4,the app read contacts to read your contacts,3,3,4
CONTACT,QR and Barcode Scanner can scan and read all QR / Barcode types including text; url; ISBN; product; contact; calendar; email; location; Wi-Fi and many other formats.,read contacts for the purpose of assigning ringtone to contact,1,5,3,our apps use contact permission to read your contacts and contacts,3,5,4,read contacts for the purpose of assigning ringtone to contact,1,5,3
CONTACT,Assign different ?'?ringtones and notifications?'? to specific contacts from your phonebook,this app uses read contacts to read your contacts,3,5,4,you can save ringtones for your contacts or contact,3,3,4,this app uses read contacts to read your contacts,3,5,4
CONTACT,Share the name and contact details of the phone owner; and the emergency contact details,the app can use read contact to read read contacts,3,2,4,this app will use read contact to read your contacts list,2,3,4,the app can use read contact to read read contacts,3,2,4
CONTACT,We ask permission to access your contact list so that you will know who among your friends is also using the app.,this app will save your contacts to device storage,3,5,2,the app use contact permission to read contacts,4,4,2,this app will save your contacts to device storage,3,5,2
